1;BESTEST 600;
;;
Date/Time;DistrictCooling:Facility [W];DistrictHeating:Facility [W]
01.01.2002 01:00;0;1614,838179
01.01.2002 02:00;0;1604,508378
01.01.2002 03:00;0;1622,83563
01.01.2002 04:00;0;1634,577807
01.01.2002 05:00;0;1640,78915
01.01.2002 06:00;0;1641,103352
01.01.2002 07:00;0;1550,298827
01.01.2002 08:00;0;1413,851908
01.01.2002 09:00;0;1012,438153
01.01.2002 10:00;0;519,1421616
01.01.2002 11:00;70,97336929;0
01.01.2002 12:00;2215,921021;0
01.01.2002 13:00;4282,441743;0
01.01.2002 14:00;4985,490415;0
01.01.2002 15:00;4531,63849;0
01.01.2002 16:00;3239,214356;0
01.01.2002 17:00;1150,129659;0
01.01.2002 18:00;31,46064855;0
01.01.2002 19:00;0;0
01.01.2002 20:00;0;0
01.01.2002 21:00;0;360,9540438
01.01.2002 22:00;0;826,1683706
01.01.2002 23:00;0;1169,874695
02.01.2002 00:00;0;1482,777836
02.01.2002 01:00;0;1761,406012
02.01.2002 02:00;0;1970,293319
02.01.2002 03:00;0;2153,63558
02.01.2002 04:00;0;2290,647269
02.01.2002 05:00;0;2399,091136
02.01.2002 06:00;0;2506,295973
02.01.2002 07:00;0;2598,78479
02.01.2002 08:00;0;2648,145227
02.01.2002 09:00;0;2636,209147
02.01.2002 10:00;0;2581,705405
02.01.2002 11:00;0;2500,328655
02.01.2002 12:00;0;2482,326918
02.01.2002 13:00;0;2535,796533
02.01.2002 14:00;0;2589,941566
02.01.2002 15:00;0;2650,881747
02.01.2002 16:00;0;2761,022773
02.01.2002 17:00;0;2929,410195
02.01.2002 18:00;0;3076,837433
02.01.2002 19:00;0;3157,619517
02.01.2002 20:00;0;3202,856626
02.01.2002 21:00;0;3235,229244
02.01.2002 22:00;0;3271,275277
02.01.2002 23:00;0;3315,349218
03.01.2002 00:00;0;3333,104397
03.01.2002 01:00;0;3347,310966
03.01.2002 02:00;0;3347,889695
03.01.2002 03:00;0;3326,141224
03.01.2002 04:00;0;3322,425463
03.01.2002 05:00;0;3357,658048
03.01.2002 06:00;0;3419,32033
03.01.2002 07:00;0;3472,631403
03.01.2002 08:00;0;3424,181066
03.01.2002 09:00;0;3148,759877
03.01.2002 10:00;0;3021,14696
03.01.2002 11:00;0;2598,454933
03.01.2002 12:00;0;398,6789261
03.01.2002 13:00;0;0
03.01.2002 14:00;44,28539143;0
03.01.2002 15:00;75,30478264;0
03.01.2002 16:00;1,196753545;0
03.01.2002 17:00;0;11,40322506
03.01.2002 18:00;0;985,2659041
03.01.2002 19:00;0;2099,127485
03.01.2002 20:00;0;2761,723938
03.01.2002 21:00;0;3126,426359
03.01.2002 22:00;0;3303,691031
03.01.2002 23:00;0;3403,17503
04.01.2002 00:00;0;3493,296522
04.01.2002 01:00;0;3610,411591
04.01.2002 02:00;0;3727,974652
04.01.2002 03:00;0;3770,369172
04.01.2002 04:00;0;3789,766325
04.01.2002 05:00;0;3808,990116
04.01.2002 06:00;0;3803,380378
04.01.2002 07:00;0;3802,651392
04.01.2002 08:00;0;3525,609897
04.01.2002 09:00;0;2235,488827
04.01.2002 10:00;0;633,6415168
04.01.2002 11:00;33,77998872;0
04.01.2002 12:00;1600,392224;0
04.01.2002 13:00;3098,019514;0
04.01.2002 14:00;3531,205288;0
04.01.2002 15:00;3021,239797;0
04.01.2002 16:00;1627,765136;0
04.01.2002 17:00;71,26260838;0
04.01.2002 18:00;0;210,5052016
04.01.2002 19:00;0;1389,952121
04.01.2002 20:00;0;2257,054547
04.01.2002 21:00;0;2805,342531
04.01.2002 22:00;0;3111,022488
04.01.2002 23:00;0;3222,112395
05.01.2002 00:00;0;3270,461897
05.01.2002 01:00;0;3301,437011
05.01.2002 02:00;0;3297,069907
05.01.2002 03:00;0;3268,705747
05.01.2002 04:00;0;2778,710924
05.01.2002 05:00;0;2516,539438
05.01.2002 06:00;0;2602,22085
05.01.2002 07:00;0;2614,263151
05.01.2002 08:00;0;2235,577376
05.01.2002 09:00;0;575,4251961
05.01.2002 10:00;49,38571758;0
05.01.2002 11:00;1687,739387;0
05.01.2002 12:00;3438,245613;0
05.01.2002 13:00;4480,683343;0
05.01.2002 14:00;4817,463726;0
05.01.2002 15:00;4312,962386;0
05.01.2002 16:00;2958,037537;0
05.01.2002 17:00;938,5622793;0
05.01.2002 18:00;0;0
05.01.2002 19:00;0;0
05.01.2002 20:00;0;205,4177825
05.01.2002 21:00;0;828,0189157
05.01.2002 22:00;0;1254,034063
05.01.2002 23:00;0;1525,298293
06.01.2002 00:00;0;1673,460613
06.01.2002 01:00;0;1770,557004
06.01.2002 02:00;0;1859,770227
06.01.2002 03:00;0;1829,794508
06.01.2002 04:00;0;1716,622488
06.01.2002 05:00;0;1748,822832
06.01.2002 06:00;0;1842,153816
06.01.2002 07:00;0;1876,765927
06.01.2002 08:00;0;1618,154157
06.01.2002 09:00;0;265,0115808
06.01.2002 10:00;239,9730141;0
06.01.2002 11:00;2681,417892;0
06.01.2002 12:00;4729,08766;0
06.01.2002 13:00;5862,398386;0
06.01.2002 14:00;6007,595776;0
06.01.2002 15:00;5149,806917;0
06.01.2002 16:00;3494,087139;0
06.01.2002 17:00;1277,244545;0
06.01.2002 18:00;39,57264363;0
06.01.2002 19:00;0;0
06.01.2002 20:00;0;0
06.01.2002 21:00;0;312,9060959
06.01.2002 22:00;0;795,077984
06.01.2002 23:00;0;1132,079505
07.01.2002 00:00;0;1233,378699
07.01.2002 01:00;0;1330,466486
07.01.2002 02:00;0;1504,114944
07.01.2002 03:00;0;1621,442302
07.01.2002 04:00;0;1730,22309
07.01.2002 05:00;0;1795,955778
07.01.2002 06:00;0;1819,010886
07.01.2002 07:00;0;1836,210903
07.01.2002 08:00;0;1541,425694
07.01.2002 09:00;0;229,4062506
07.01.2002 10:00;336,4081801;0
07.01.2002 11:00;2952,610845;0
07.01.2002 12:00;4957,35039;0
07.01.2002 13:00;5757,075299;0
07.01.2002 14:00;5645,530633;0
07.01.2002 15:00;4816,254034;0
07.01.2002 16:00;3335,043437;0
07.01.2002 17:00;1175,322568;0
07.01.2002 18:00;15,97233983;0
07.01.2002 19:00;0;0
07.01.2002 20:00;0;103,0726519
07.01.2002 21:00;0;698,8723999
07.01.2002 22:00;0;1192,141773
07.01.2002 23:00;0;1523,978985
08.01.2002 00:00;0;1735,530372
08.01.2002 01:00;0;1865,891405
08.01.2002 02:00;0;1927,360435
08.01.2002 03:00;0;1976,229267
08.01.2002 04:00;0;1989,839209
08.01.2002 05:00;0;1938,148469
08.01.2002 06:00;0;1906,175107
08.01.2002 07:00;0;1920,330694
08.01.2002 08:00;0;1676,546284
08.01.2002 09:00;0;370,8836957
08.01.2002 10:00;97,9498481;0
08.01.2002 11:00;2315,858234;0
08.01.2002 12:00;4529,861273;0
08.01.2002 13:00;5560,167328;0
08.01.2002 14:00;5616,990618;0
08.01.2002 15:00;4893,774416;0
08.01.2002 16:00;3448,299863;0
08.01.2002 17:00;1311,469515;0
08.01.2002 18:00;42,1473438;0
08.01.2002 19:00;0;0
08.01.2002 20:00;0;70,30553473
08.01.2002 21:00;0;625,2310821
08.01.2002 22:00;0;1146,39376
08.01.2002 23:00;0;1522,565516
09.01.2002 00:00;0;1778,938038
09.01.2002 01:00;0;1934,21688
09.01.2002 02:00;0;2005,570294
09.01.2002 03:00;0;2053,287238
09.01.2002 04:00;0;2064,692786
09.01.2002 05:00;0;2047,043009
