#WU	WSHGC	IT	IL	INF	CSB	CSPR	CSPO	HSB	HSPR	HSPO	SD	NoS	SYS	CO2	Comfort
1	1	1	0	1	0	0	0	0	0	0	0	0	10	40503	11.3
1	1	1	0	1	0	0	0	0	0	0	0	0	11	24045	18.8
1	1	1	0	1	0	0	0	0	0	0	0	0	12	24704	20.3
1	1	1	0	1	0	0	0	0	0	0	0	0	13	25215	61.8
1	1	1	0	1	0	0	0	0	0	0	0	0	17	54968	17.5
1	1	1	0	1	0	0	0	0	0	0	0	0	 2	18453	20.2
1	1	1	0	1	0	0	0	0	0	0	0	0	 3	29269	12.9
1	1	1	0	1	0	0	0	0	0	0	0	0	 4	27128	12.9
1	1	1	0	1	0	0	0	0	0	0	0	0	 5	26246	5.1
1	1	1	0	1	0	0	0	0	0	0	0	0	 6	41588	4.7
1	1	1	0	1	0	0	0	0	0	0	0	0	 7	27049	6.6
1	1	1	0	1	0	0	0	0	0	0	0	0	 8	39908	5.9
1	1	1	0	1	0	0	0	0	0	0	0	0	 9	29011	11.3
1	1	1	0	2	0	0	0	0	0	0	0	0	 1	18968	17.1
1	1	1	0	2	0	0	0	0	0	0	0	0	10	41903	11.0
1	1	1	0	2	0	0	0	0	0	0	0	0	11	24309	16.7
1	1	1	0	2	0	0	0	0	0	0	0	0	12	24932	18.1
1	1	1	0	2	0	0	0	0	0	0	0	0	13	25740	57.4
1	1	1	0	2	0	0	0	0	0	0	0	0	17	55272	16.3
1	1	1	0	2	0	0	0	0	0	0	0	0	 2	18872	17.1
1	1	1	0	2	0	0	0	0	0	0	0	0	 3	29877	12.5
1	1	1	0	2	0	0	0	0	0	0	0	0	 4	27599	12.5
1	1	1	0	2	0	0	0	0	0	0	0	0	 5	26676	4.8
1	1	1	0	2	0	0	0	0	0	0	0	0	 6	42490	4.5
1	1	1	0	2	0	0	0	0	0	0	0	0	 7	27490	6.4
1	1	1	0	2	0	0	0	0	0	0	0	0	 8	40816	5.6
1	1	1	0	2	0	0	0	0	0	0	0	0	 9	29619	11.0
1	1	5	3	4	2	1	0	4	2	2	1	1	 1	29584	39.7
1	1	5	3	4	2	1	0	4	2	2	1	1	10	66440	27.0
1	1	5	3	4	2	1	0	4	2	2	1	1	11	28782	40.5
1	1	5	3	4	2	1	0	4	2	2	1	1	12	29229	41.6
1	1	5	3	4	2	1	0	4	2	2	1	1	13	35015	78.0
1	1	5	3	4	2	1	0	4	2	2	1	1	17	63561	38.3
1	1	5	3	4	2	1	0	4	2	2	1	1	 2	28124	39.6
1	1	5	3	4	2	1	0	4	2	2	1	1	 3	40330	28.1
1	1	5	3	4	2	1	0	4	2	2	1	1	 4	34972	28.1
1	1	5	3	4	2	1	0	4	2	2	1	1	 5	38700	33.9
1	1	5	3	4	2	1	0	4	2	2	1	1	 6	70132	33.6
1	1	5	3	4	2	1	0	4	2	2	1	1	 7	39540	35.4
1	1	5	3	4	2	1	0	4	2	2	1	1	 8	68466	35.0
1	1	5	3	4	2	1	0	4	2	2	1	1	 9	40182	27.0
1	1	5	3	5	2	2	1	0	3	2	2	2	 1	20624	21.0
1	1	5	3	5	2	2	1	0	3	2	2	2	10	45619	10.3
1	1	5	3	5	2	2	1	0	3	2	2	2	11	24816	20.0
1	1	5	3	5	2	2	1	0	3	2	2	2	12	24972	20.0
1	1	5	3	5	2	2	1	0	3	2	2	2	13	27486	43.6
1	1	5	3	5	2	2	1	0	3	2	2	2	17	55999	19.2
1	1	5	3	5	2	2	1	0	3	2	2	2	 2	20991	21.1
1	1	5	3	5	2	2	1	0	3	2	2	2	 3	30382	10.4
1	1	5	3	5	2	2	1	0	3	2	2	2	 4	27937	10.4
1	1	5	3	5	2	2	1	0	3	2	2	2	 5	26144	8.4
1	1	5	3	5	2	2	1	0	3	2	2	2	 7	26998	8.8
1	1	5	3	5	2	2	1	0	3	2	2	2	 8	44617	7.3
1	1	5	3	5	2	2	1	0	3	2	2	2	 9	30333	10.3
1	2	2	1	3	2	2	2	2	2	2	2	4	 1	22975	33.5
1	2	2	1	3	2	2	2	2	2	2	2	4	10	52948	19.3
1	2	2	1	3	2	2	2	2	2	2	2	4	11	24810	24.6
1	2	2	1	3	2	2	2	2	2	2	2	4	12	24773	24.4
1	2	2	1	3	2	2	2	2	2	2	2	4	13	28587	66.1
1	2	2	1	3	2	2	2	2	2	2	2	4	17	57152	23.7
1	2	2	1	3	2	2	2	2	2	2	2	4	 2	24416	33.6
1	2	2	1	3	2	2	2	2	2	2	2	4	 3	32967	19.4
1	2	2	1	3	2	2	2	2	2	2	2	4	 4	29762	19.5
1	2	2	1	3	2	2	2	2	2	2	2	4	 5	27477	11.5
1	2	2	1	3	2	2	2	2	2	2	2	4	 6	54467	6.3
1	2	2	1	3	2	2	2	2	2	2	2	4	 7	28299	12.0
1	2	2	1	3	2	2	2	2	2	2	2	4	 8	52935	7.1
1	2	2	1	3	2	2	2	2	2	2	2	4	 9	32928	19.3
1	2	2	1	3	2	3	3	3	2	2	3	5	 1	25146	36.2
1	2	2	1	3	2	3	3	3	2	2	3	5	10	56803	18.2
1	2	2	1	3	2	3	3	3	2	2	3	5	11	25610	27.3
1	2	2	1	3	2	3	3	3	2	2	3	5	12	25438	27.1
1	2	2	1	3	2	3	3	3	2	2	3	5	13	30242	72.0
1	2	2	1	3	2	3	3	3	2	2	3	5	17	59616	25.1
1	2	2	1	3	2	3	3	3	2	2	3	5	 2	26457	38.2
1	2	2	1	3	2	3	3	3	2	2	3	5	 3	34653	18.2
1	2	2	1	3	2	3	3	3	2	2	3	5	 4	30650	18.2
1	2	2	1	3	2	3	3	3	2	2	3	5	 5	30154	17.4
1	2	2	1	3	2	3	3	3	2	2	3	5	 6	61239	11.3
1	2	2	1	3	2	3	3	3	2	2	3	5	 7	31095	18.0
1	2	2	1	3	2	3	3	3	2	2	3	5	 8	59732	11.9
1	2	2	1	3	2	3	3	3	2	2	3	5	 9	34639	18.2
1	2	2	1	4	3	3	4	4	3	0	0	1	 1	28660	56.5
1	2	2	1	4	3	3	4	4	3	0	0	1	10	69756	56.4
