in:WU,in:SHGC,in:InsTh,in:InsLa,in:CSB,in:CSP_R,in:CSP_O,in:HSB,in:HSP_R,in:HSP_O,in:SD,in:NOfS,in:DOASHC,in:RadCoilLowT,in:dTRad,in:RadCtrTh,in:RadSurfType,in:DOAS_SHT,in:DOAS_SLT,out:kgCO2,out:Comf time,out:Condensation,out:HP_SCOP,out:PeakCL,out:PeakHL,img,threeD
3,0.9,2,3,30,25,27,15,20,20,0.3,0,1,20,4,1,1,26,20,25484,80.19,0,3.87,12101,29006,WU3_SHGC0.9_InsTh2_InsLa3_CSB30_CSP_R25_CSP_O27_HSB15_HSP_R20_HSP_O20_SD0.3_NOfS0_DOASHC1_RadCoilLowT20_dTRad4_RadCtrTh1_RadSurfType1_DOAS_SHT26_DOAS_SLT20_Top.png,WU3_SHGC0.9_InsTh2_InsLa3_CSB30_CSP_R25_CSP_O27_HSB15_HSP_R20_HSP_O20_SD0.3_NOfS0_DOASHC1_RadCoilLowT20_dTRad4_RadCtrTh1_RadSurfType1_DOAS_SHT26_DOAS_SLT20.json
2,0.7,2,1,34,24,26,13,19,19,0.1,0,1,21,6,3,0,24,17,27710,86.79,0,3.58,10325,28866,WU2_SHGC0.7_InsTh2_InsLa1_CSB34_CSP_R24_CSP_O26_HSB13_HSP_R19_HSP_O19_SD0.1_NOfS0_DOASHC1_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT24_DOAS_SLT17_Top.png,WU2_SHGC0.7_InsTh2_InsLa1_CSB34_CSP_R24_CSP_O26_HSB13_HSP_R19_HSP_O19_SD0.1_NOfS0_DOASHC1_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT24_DOAS_SLT17.json
3,1,5,1,32,27,26,12,20,18,0.3,2,8,23,5,2,2,25,18,32235,50.19,0,4.09,4507,28280,WU3_SHGC1_InsTh5_InsLa1_CSB32_CSP_R27_CSP_O26_HSB12_HSP_R20_HSP_O18_SD0.3_NOfS2_DOASHC8_RadCoilLowT23_dTRad5_RadCtrTh2_RadSurfType2_DOAS_SHT25_DOAS_SLT18_Top.png,WU3_SHGC1_InsTh5_InsLa1_CSB32_CSP_R27_CSP_O26_HSB12_HSP_R20_HSP_O18_SD0.3_NOfS2_DOASHC8_RadCoilLowT23_dTRad5_RadCtrTh2_RadSurfType2_DOAS_SHT25_DOAS_SLT18.json
2,0.7,3,0,31,27,26,13,21,19,0.2,5,9,21,5,2,0,23,16,27901,77.24,0,3.6,8197,28057,WU2_SHGC0.7_InsTh3_InsLa0_CSB31_CSP_R27_CSP_O26_HSB13_HSP_R21_HSP_O19_SD0.2_NOfS5_DOASHC9_RadCoilLowT21_dTRad5_RadCtrTh2_RadSurfType0_DOAS_SHT23_DOAS_SLT16_Top.png,WU2_SHGC0.7_InsTh3_InsLa0_CSB31_CSP_R27_CSP_O26_HSB13_HSP_R21_HSP_O19_SD0.2_NOfS5_DOASHC9_RadCoilLowT21_dTRad5_RadCtrTh2_RadSurfType0_DOAS_SHT23_DOAS_SLT16.json
3,0.7,4,2,31,26,27,14,19,18,0.1,1,9,23,4,2,3,27,18,30745,50.71,0,3.77,8778,23118,WU3_SHGC0.7_InsTh4_InsLa2_CSB31_CSP_R26_CSP_O27_HSB14_HSP_R19_HSP_O18_SD0.1_NOfS1_DOASHC9_RadCoilLowT23_dTRad4_RadCtrTh2_RadSurfType3_DOAS_SHT27_DOAS_SLT18_Top.png,WU3_SHGC0.7_InsTh4_InsLa2_CSB31_CSP_R26_CSP_O27_HSB14_HSP_R19_HSP_O18_SD0.1_NOfS1_DOASHC9_RadCoilLowT23_dTRad4_RadCtrTh2_RadSurfType3_DOAS_SHT27_DOAS_SLT18.json
2,0.8,2,2,31,24,26,15,20,19,0.1,4,7,22,5,2,1,27,20,27085,59.62,0,3.88,10950,24512,WU2_SHGC0.8_InsTh2_InsLa2_CSB31_CSP_R24_CSP_O26_HSB15_HSP_R20_HSP_O19_SD0.1_NOfS4_DOASHC7_RadCoilLowT22_dTRad5_RadCtrTh2_RadSurfType1_DOAS_SHT27_DOAS_SLT20_Top.png,WU2_SHGC0.8_InsTh2_InsLa2_CSB31_CSP_R24_CSP_O26_HSB15_HSP_R20_HSP_O19_SD0.1_NOfS4_DOASHC7_RadCoilLowT22_dTRad5_RadCtrTh2_RadSurfType1_DOAS_SHT27_DOAS_SLT20.json
2,0.9,6,0,31,23,26,15,18,21,0.1,2,9,21,5,2,0,22,18,27376,80.8,0,3.45,13270,27822,WU2_SHGC0.9_InsTh6_InsLa0_CSB31_CSP_R23_CSP_O26_HSB15_HSP_R18_HSP_O21_SD0.1_NOfS2_DOASHC9_RadCoilLowT21_dTRad5_RadCtrTh2_RadSurfType0_DOAS_SHT22_DOAS_SLT18_Top.png,WU2_SHGC0.9_InsTh6_InsLa0_CSB31_CSP_R23_CSP_O26_HSB15_HSP_R18_HSP_O21_SD0.1_NOfS2_DOASHC9_RadCoilLowT21_dTRad5_RadCtrTh2_RadSurfType0_DOAS_SHT22_DOAS_SLT18.json
2,0.6,3,3,34,26,27,13,20,20,0.3,2,3,19,6,2,2,29,19,24528,79.23,44.5,3.71,6874,32259,WU2_SHGC0.6_InsTh3_InsLa3_CSB34_CSP_R26_CSP_O27_HSB13_HSP_R20_HSP_O20_SD0.3_NOfS2_DOASHC3_RadCoilLowT19_dTRad6_RadCtrTh2_RadSurfType2_DOAS_SHT29_DOAS_SLT19_Top.png,WU2_SHGC0.6_InsTh3_InsLa3_CSB34_CSP_R26_CSP_O27_HSB13_HSP_R20_HSP_O20_SD0.3_NOfS2_DOASHC3_RadCoilLowT19_dTRad6_RadCtrTh2_RadSurfType2_DOAS_SHT29_DOAS_SLT19.json
1,0.9,2,3,35,27,26,13,19,21,0.1,3,9,22,4,2,0,24,18,30016,69.81,0,3.48,13368,34988,WU1_SHGC0.9_InsTh2_InsLa3_CSB35_CSP_R27_CSP_O26_HSB13_HSP_R19_HSP_O21_SD0.1_NOfS3_DOASHC9_RadCoilLowT22_dTRad4_RadCtrTh2_RadSurfType0_DOAS_SHT24_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh2_InsLa3_CSB35_CSP_R27_CSP_O26_HSB13_HSP_R19_HSP_O21_SD0.1_NOfS3_DOASHC9_RadCoilLowT22_dTRad4_RadCtrTh2_RadSurfType0_DOAS_SHT24_DOAS_SLT18.json
4,0.6,4,4,34,25,27,14,20,19,0.2,3,2,19,5,1,1,27,10,26602,50.87,0,3.79,7531,27822,WU4_SHGC0.6_InsTh4_InsLa4_CSB34_CSP_R25_CSP_O27_HSB14_HSP_R20_HSP_O19_SD0.2_NOfS3_DOASHC2_RadCoilLowT19_dTRad5_RadCtrTh1_RadSurfType1_DOAS_SHT27_DOAS_SLT10_Top.png,WU4_SHGC0.6_InsTh4_InsLa4_CSB34_CSP_R25_CSP_O27_HSB14_HSP_R20_HSP_O19_SD0.2_NOfS3_DOASHC2_RadCoilLowT19_dTRad5_RadCtrTh1_RadSurfType1_DOAS_SHT27_DOAS_SLT10.json
